run_id,source_family,agent,mode,benchmark,role,primary_category,count,extractor_version,run_role_total_invocations,run_role_category_share
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,accounting/judge,file_read_navigation,15,stable_schema,16,0.9375
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,cross-contract/branch-01,file_read_navigation,19,stable_schema,19,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,cross-contract/judge,file_read_navigation,16,stable_schema,16,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,global-judge,file_read_navigation,17,stable_schema,28,0.6071428571428571
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,scout,file_read_navigation,15,stable_schema,16,0.9375
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,token-flow/branch-01,file_read_navigation,16,stable_schema,17,0.9411764705882353
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,token-flow/judge,file_read_navigation,16,stable_schema,16,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/branch-01,file_write_edit,1,stable_schema,33,0.030303030303030304
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/judge,file_write_edit,2,stable_schema,16,0.125
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,accounting/branch-01,file_write_edit,1,stable_schema,15,0.06666666666666667
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,accounting/judge,file_write_edit,1,stable_schema,16,0.0625
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,global-judge,file_write_edit,1,stable_schema,28,0.03571428571428571
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,scout,file_write_edit,1,stable_schema,16,0.0625
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,global-judge,shell_control_flow,10,stable_schema,28,0.35714285714285715
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/branch-01,text_search,11,stable_schema,33,0.3333333333333333
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/judge,text_search,2,stable_schema,16,0.125
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,token-flow/branch-01,text_search,1,stable_schema,17,0.058823529411764705
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|phase6/vllm-4trees-2026-05-04,evmbench_runs_download,unknown,unknown,unknown,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|rca/qwen-vllm-2tree-canto-2026-05-05|detect|2024-01-canto|2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect|2024-01-canto_a7bef0fc-6fd0-40ee-84b1-55cdf289422f,evmbench_runs_download,unknown,detect,2024-01-canto,unknown,runtime_script,1,stable_schema,1,1.0
